SpellID,name,castingtime,CastOnYou,CastOnOther,Expired,classes,desc1,desc2,manacost,recasttime,resist
14875,Spectral Ward Rk. II,6,You have been protected from harm., has been protected by a spectral guard.,The spectral guard fades.,NEC/78,Increase Chance to Avoid Melee by 50% ,,500,36,Unresistable
14876,Spectral Ward Rk. III,6,You have been protected from harm., has been protected by a spectral guard.,The spectral guard fades.,NEC/78,Increase Chance to Avoid Melee by 50% ,,500,36,Unresistable
14877,Shadowskin,5,Your nerves go numb.,'s nerves go numb.,You can feel pain again.,NEC/78,Increase Absorb Damage by 1341 ,,602,1.5,Unresistable
14878,Shadowskin Rk. II,5,Your nerves go numb.,'s nerves go numb.,You can feel pain again.,NEC/78,Increase Absorb Damage by 1585 ,,687,1.5,Unresistable
14879,Shadowskin Rk. III,5,Your nerves go numb.,'s nerves go numb.,You can feel pain again.,NEC/78,Increase Absorb Damage by 1707 ,,732,1.5,Unresistable
14880,Riftbone Manacles,3,, is restrained by rimebone shackles.,,NEC/78,Mesmerize (2/80),,234,1.5,Magic
14881,Riftbone Manacles Rk. II,3,, is restrained by rimebone shackles.,,NEC/78,Mesmerize (2/80),,234,1.5,Magic
14882,Riftbone Manacles Rk. III,3,, is restrained by rimebone shackles.,,NEC/78,Mesmerize (2/80),,234,1.5,Magic
14883,Wintry Revival,3.75,,'s body reforms.,,NEC/78,Increase Hitpoints by 1878. Max: 2678,Decrease Disease Counter by 37 ,532,1.5,Unresistable
14884,Wintry Revival Rk. II,3.75,,'s body reforms.,,NEC/78,Increase Hitpoints by 2104. Max: 2904,Decrease Disease Counter by 43 ,556,1.5,Unresistable
14885,Wintry Revival Rk. III,3.75,,'s body reforms.,,NEC/78,Increase Hitpoints by 2256. Max: 3056,Decrease Disease Counter by 46 ,571,1.5,Unresistable
14886,Pyre of the Lifeless,3,Your body is enveloped in the pyre of the lifeless.,'s body is enveloped in the pyre of the lifeless.,The pyre fades away.,NEC/78,Decrease Hitpoints by 599 per tick. Max: 599 per tick,,734,1.5,Fire
14887,Pyre of the Lifeless Rk. II,3,Your body is enveloped in the pyre of the lifeless.,'s body is enveloped in the pyre of the lifeless.,The pyre fades away.,NEC/78,Decrease Hitpoints by 681 per tick. Max: 681 per tick,,803,1.5,Fire
14888,Pyre of the Lifeless Rk. III,3,Your body is enveloped in the pyre of the lifeless.,'s body is enveloped in the pyre of the lifeless.,The pyre fades away.,NEC/78,Decrease Hitpoints by 735 per tick. Max: 735 per tick,,847,1.5,Fire
14891,Visziaj's Pallid Haze,3,Your choke on a sickly green mist., chokes on a sickly green mist.,You stop choking.,NEC/79,Increase Poison Counter by 18 ,Decrease Hitpoints by 695 per tick. Max: 695 per tick,766,1.5,Poison
14892,Visziaj's Pallid Haze Rk. II,3,Your choke on a sickly green mist., chokes on a sickly green mist.,You stop choking.,NEC/79,Increase Poison Counter by 18 ,Decrease Hitpoints by 789 per tick. Max: 789 per tick,838,1.5,Poison
14893,Visziaj's Pallid Haze Rk. III,3,Your choke on a sickly green mist., chokes on a sickly green mist.,You stop choking.,NEC/79,Increase Poison Counter by 18 ,Decrease Hitpoints by 853 per tick. Max: 853 per tick,884,1.5,Poison
14894,Spectralside,3,You see the world from the otherside.,"'s mortal form travels to the otherside, leaving bones behind.",You no longer see the world from the otherside.,NEC/79,Add Effect: Mottled Skeletal Form,Increase Mana by 87 per tick,5,1.5,Unresistable
14895,Spectralside Rk. II,3,You see the world from the otherside.,"'s mortal form travels to the otherside, leaving bones behind.",You no longer see the world from the otherside.,NEC/79,Add Effect: Mottled Skeletal Form,Increase Mana by 99 per tick,5,1.5,Unresistable
14896,Spectralside Rk. III,3,You see the world from the otherside.,"'s mortal form travels to the otherside, leaving bones behind.",You no longer see the world from the otherside.,NEC/79,Add Effect: Mottled Skeletal Form,Increase Mana by 105 per tick,5,1.5,Unresistable
14897,Noxious Servant,6,A putrescent corpse rises from the ground., beckons a putrescent corpse to rise from the ground.,,NEC/80,Summon Skeleton Pet: PCPetNecS16L080Spec2Snw,,800,1.5,Poison
14898,Visziaj's Command,5,You are compelled by a command., moans.,You are no longer charmed.,NEC/80,Charm up to level 78,,800,12,Magic
14899,Visziaj's Command Rk. II,5,You are compelled by a command., moans.,You are no longer charmed.,NEC/80,Charm up to level 78,,800,12,Magic
14900,Visziaj's Command Rk. III,5,You are compelled by a command., moans.,You are no longer charmed.,NEC/80,Charm up to level 78,,800,12,Magic
14904,Aegis of Kildrukaun,6,, has been surrounded by an aegis.,,NEC/79 MAG/79,"Block Melee or Spells (7), Max: 18918",,500,36,Unresistable
14905,Aegis of Kildrukaun Rk. II,6,, has been surrounded by an aegis.,,NEC/79 MAG/79,"Block Melee or Spells (8), Max: 18918",,500,36,Unresistable
14906,Aegis of Kildrukaun Rk. III,6,, has been surrounded by an aegis.,,NEC/79 MAG/79,"Block Melee or Spells (9), Max: 18918",,500,36,Unresistable
14907,Venonscale Venom,3,Your veins are filled with vile venom.,'s veins turn a vile shade of green.,Your veins return to normal.,NEC/80,Increase Poison Counter by 18 ,Decrease Hitpoints by 822 per tick. Max: 822 per tick,785,1.5,Poison
14908,Venonscale Venom Rk. II,3,Your veins are filled with vile venom.,'s veins turn a vile shade of green.,Your veins return to normal.,NEC/80,Increase Poison Counter by 18 ,Decrease Hitpoints by 934 per tick. Max: 934 per tick,858,1.5,Poison
14909,Venonscale Venom Rk. III,3,Your veins are filled with vile venom.,'s veins turn a vile shade of green.,Your veins return to normal.,NEC/80,Increase Poison Counter by 18 ,Decrease Hitpoints by 1009 per tick. Max: 1009 per tick,906,1.5,Poison
14910,Phantasmal Orb,1.25,Your soul quivers in pain.,'s soul quivers in pain.,,NEC/76,Decrease Hitpoints by 1574.,,785,5,Magic
14911,Phantasmal Orb Rk. II,1.25,Your soul quivers in pain.,'s soul quivers in pain.,,NEC/76,Decrease Hitpoints by 1788.,,859,5,Magic
14912,Phantasmal Orb Rk. III,1.25,Your soul quivers in pain.,'s soul quivers in pain.,,NEC/76,Decrease Hitpoints by 1932.,,906,5,Magic
14915,Bonestitch Charm,3,You create a bonestitch fetish.,,,NEC/77,Persistent Effect: Bonestitch Charm Effect [14918],,100,30,Unresistable
14916,Bonestitch Charm Rk. II,3,You create a bonestitch fetish.,,,NEC/77,Persistent Effect: Bonestitch Charm Effect [14919],,100,30,Unresistable
14917,Bonestitch Charm Rk. III,3,You create a bonestitch fetish.,,,NEC/77,Persistent Effect: Bonestitch Charm Effect [14920],,100,30,Unresistable
14921,Mental Vivisection,6,You feel your mana drain away., staggers.,,NEC/79,,,936,60,Disease
14922,Mental Vivisection Rk. II,6,You feel your mana drain away., staggers.,,NEC/79,,,1068,60,Disease
14923,Mental Vivisection Rk. III,6,You feel your mana drain away., staggers.,,NEC/79,,,1138,60,Disease
14927,Reaver's Pyre,3,You are consumed in a pyre of cinders.,'s body is consumed in a pyre of cinders.,The pyre fades away.,NEC/79,Decrease Hitpoints by 1130 per tick. Max: 1130 per tick,,1307,1.5,Fire
14928,Reaver's Pyre Rk. II,3,You are consumed in a pyre of cinders.,'s body is consumed in a pyre of cinders.,The pyre fades away.,NEC/79,Decrease Hitpoints by 1284 per tick. Max: 1284 per tick,,1430,1.5,Fire
14929,Reaver's Pyre Rk. III,3,You are consumed in a pyre of cinders.,'s body is consumed in a pyre of cinders.,The pyre fades away.,NEC/79,Decrease Hitpoints by 1387 per tick. Max: 1387 per tick,,1508,1.5,Fire
14930,Splort,3,Your body begins to splurt.,'s body begins to splurt.,Your body stops splurting.,NEC/80,,,800,1.5,Magic
14931,Splort Rk. II,3,Your body begins to splurt.,'s body begins to splurt.,Your body stops splurting.,NEC/80,,,875,1.5,Magic
14932,Splort Rk. III,3,Your body begins to splurt.,'s body begins to splurt.,Your body stops splurting.,NEC/80,,,923,1.5,Magic
14933,Putrefaction,3,Your veins explode.,'s veins explode.,,NEC/77,Decrease Hitpoints by 493 per tick. Max: 493 per tick,Decrease Hitpoints by 846 per tick. Max: 846 per tick,734,1.5,Corruption
14934,Putrefaction Rk. II,3,Your veins explode.,'s veins explode.,,NEC/77,Decrease Hitpoints by 559 per tick. Max: 559 per tick,Decrease Hitpoints by 960 per tick. Max: 960 per tick,802,1.5,Corruption
14935,Putrefaction Rk. III,3,Your veins explode.,'s veins explode.,,NEC/77,Decrease Hitpoints by 604 per tick. Max: 604 per tick,Decrease Hitpoints by 1037 per tick. Max: 1037 per tick,847,1.5,Corruption
14936,Searing Shadow,3,A searing shadow falls across you., is crossed by a searing shadow.,The searing shadow fades away.,NEC/80,Increase Incoming Spell Damage by 1% ,Decrease Hitpoints by 734 per tick. Max: 734 per tick,707,1.5,Fire
14937,Searing Shadow Rk. II,3,A searing shadow falls across you., is crossed by a searing shadow.,The searing shadow fades away.,NEC/80,Increase Incoming Spell Damage by 1% ,Decrease Hitpoints by 802 per tick. Max: 802 per tick,773,1.5,Fire
14938,Searing Shadow Rk. III,3,A searing shadow falls across you., is crossed by a searing shadow.,The searing shadow fades away.,NEC/80,Increase Incoming Spell Damage by 1% ,Decrease Hitpoints by 847 per tick. Max: 847 per tick,815,1.5,Fire
14939,Solemn Touch,3.75,Your wounds fade.,'s wounds fade.,,PAL/76,Increase Hitpoints by 1325. Max: 2125,,637,1.5,Unresistable
14940,Solemn Touch Rk. II,3.75,Your wounds fade.,'s wounds fade.,,PAL/76,Increase Hitpoints by 1505. Max: 2305,,666,1.5,Unresistable
14941,Solemn Touch Rk. III,3.75,Your wounds fade.,'s wounds fade.,,PAL/76,Increase Hitpoints by 1625. Max: 2425,,684,1.5,Unresistable
14942,Solemn Force,1,You are struck by a sudden force., is struck by a sudden force.,,PAL/76,Stun (4.00 sec/83),,80,12,Magic
14943,Solemn Force Rk. II,1,You are struck by a sudden force., is struck by a sudden force.,,PAL/76,Stun (4.00 sec/83),,80,12,Magic
14944,Solemn Force Rk. III,1,You are struck by a sudden force., is struck by a sudden force.,,PAL/76,Stun (4.00 sec/83),,80,12,Magic
14945,Burst of Morrow,0.25,The light of dawn restores you., is restored by the light of dawn.,,PAL/78,Increase Hitpoints by 3060.,,1106,12,Unresistable
14946,Burst of Morrow Rk. II,0.25,The light of dawn restores you., is restored by the light of dawn.,,PAL/78,Increase Hitpoints by 3319.,,1156,12,Unresistable
14947,Burst of Morrow Rk. III,0.25,The light of dawn restores you., is restored by the light of dawn.,,PAL/78,Increase Hitpoints by 3493.,,1188,12,Unresistable
14948,Symbol of Bthur,5,A mystic symbol flashes before your eyes., is cloaked in a shimmer of glowing symbols.,The mystic symbol fades.,PAL/77,,,609,1.5,Unresistable
14949,Symbol of Bthur Rk. II,5,A mystic symbol flashes before your eyes., is cloaked in a shimmer of glowing symbols.,The mystic symbol fades.,PAL/77,,,694,1.5,Unresistable
14950,Symbol of Bthur Rk. III,5,A mystic symbol flashes before your eyes., is cloaked in a shimmer of glowing symbols.,The mystic symbol fades.,PAL/77,,,740,1.5,Unresistable
14951,Atonement,1,You murmur a prayer and your corruption is absolved., murmurs a prayer and their corruption is absolved.,,PAL/76,Decrease Corruption Counter by 12 ,,75,3,Unresistable
14952,Atonement Rk. II,1,You murmur a prayer and your corruption is absolved., murmurs a prayer and their corruption is absolved.,,PAL/76,Decrease Corruption Counter by 18 ,,75,3,Unresistable
14953,Atonement Rk. III,1,You murmur a prayer and your corruption is absolved., murmurs a prayer and their corruption is absolved.,,PAL/76,Decrease Corruption Counter by 24 ,,75,3,Unresistable
14954,Trial for Honor,0.5,You have been challenged for honor!, has been challenged.,,PAL/77,Increase Hate by 742 ,Increase Hate by 742 ,125,3.5,Magic
14955,Trial for Honor Rk. II,0.5,You have been challenged for honor!, has been challenged.,,PAL/77,Increase Hate by 845 ,Increase Hate by 845 ,125,3.5,Magic
14956,Trial for Honor Rk. III,0.5,You have been challenged for honor!, has been challenged.,,PAL/77,Increase Hate by 901 ,Increase Hate by 901 ,125,3.5,Magic
14960,Radiant Light,1,A gleaming light covers your body.,'s body is covered in gleaming light.,,PAL/77,Increase Hitpoints by 1530.,,553,5,Unresistable
14961,Radiant Light Rk. II,1,A gleaming light covers your body.,'s body is covered in gleaming light.,,PAL/77,Increase Hitpoints by 1660.,,578,5,Unresistable
14962,Radiant Light Rk. III,1,A gleaming light covers your body.,'s body is covered in gleaming light.,,PAL/77,Increase Hitpoints by 1746.,,594,5,Unresistable
14963,Lesson of Contrition,2,You are stunned by a penitent command., is stunned by a penitent command.,,PAL/77,Stun (10.00 sec/83),Decrease Hitpoints by 279.,108,24,Magic
14964,Lesson of Contrition Rk. II,2,You are stunned by a penitent command., is stunned by a penitent command.,,PAL/77,Stun (10.00 sec/83),Decrease Hitpoints by 317.,118,24,Magic
14965,Lesson of Contrition Rk. III,2,You are stunned by a penitent command., is stunned by a penitent command.,,PAL/77,Stun (10.00 sec/83),Decrease Hitpoints by 343.,125,24,Magic
14966,Bthur's Mark,5,A mystic symbol flashes before your eyes., is cloaked in a shimmer of glowing symbols.,The mystic symbol fades.,PAL/79,,,1986,1.5,Unresistable
14967,Bthur's Mark Rk. II,5,A mystic symbol flashes before your eyes., is cloaked in a shimmer of glowing symbols.,The mystic symbol fades.,PAL/79,,,2264,1.5,Unresistable
14968,Bthur's Mark Rk. III,5,A mystic symbol flashes before your eyes., is cloaked in a shimmer of glowing symbols.,The mystic symbol fades.,PAL/79,,,2413,1.5,Unresistable
14969,Armor of Inexorable Faith,4.5,Your armor glows with the power of a champion.,'s armor glows with the power of a champion.,The holy armor fades.,PAL/78,,Increase AC by 52 ,609,1.5,Unresistable
14970,Armor of Inexorable Faith Rk. II,4.5,Your armor glows with the power of a champion.,'s armor glows with the power of a champion.,The holy armor fades.,PAL/78,,Increase AC by 59 ,694,1.5,Unresistable
14971,Armor of Inexorable Faith Rk. III,4.5,Your armor glows with the power of a champion.,'s armor glows with the power of a champion.,The holy armor fades.,PAL/78,,Increase AC by 63 ,740,1.5,Unresistable
14972,Solemn Cleansing,1.5,Solemn light pumps through your body.,'s body is covered with a soft glow.,The solemn light fades.,PAL/78,Increase Hitpoints v2 by 943 per tick,,966,30,Unresistable
14973,Solemn Cleansing Rk. II,1.5,Solemn light pumps through your body.,'s body is covered with a soft glow.,The solemn light fades.,PAL/78,Increase Hitpoints v2 by 1023 per tick,,1009,30,Unresistable
14974,Solemn Cleansing Rk. III,1.5,Solemn light pumps through your body.,'s body is covered with a soft glow.,The solemn light fades.,PAL/78,Increase Hitpoints v2 by 1077 per tick,,1038,30,Unresistable
14975,Wave of Absolution,3,You are washed over in a wave of absolution., is washed over in a wave of absolution.,,PAL/79,Increase Hitpoints by 1247. Max: 2047,,1491,18,Unresistable
14976,Wave of Absolution Rk. II,3,You are washed over in a wave of absolution., is washed over in a wave of absolution.,,PAL/79,Increase Hitpoints by 1420. Max: 2220,,1558,18,Unresistable
14977,Wave of Absolution Rk. III,3,You are washed over in a wave of absolution., is washed over in a wave of absolution.,,PAL/79,Increase Hitpoints by 1536. Max: 2336,,1601,18,Unresistable
14978,Brell's Earthen Aegis,4,You are protected by Brell's earthen aegis., is protected by Brell's earthen aegis.,The earthen aegis fades.,PAL/79,,,434,1.5,Unresistable
14979,Brell's Earthen Aegis Rk. II,4,You are protected by Brell's earthen aegis., is protected by Brell's earthen aegis.,The earthen aegis fades.,PAL/79,,,495,1.5,Unresistable
14980,Brell's Earthen Aegis Rk. III,4,You are protected by Brell's earthen aegis., is protected by Brell's earthen aegis.,The earthen aegis fades.,PAL/79,,,528,1.5,Unresistable
14981,Oathbound Protector,14,You become a sworn protector., becomes a sworn protector.,You are no longer a sworn protector.,PAL/80,Stacking: Block new spell if slot 3 is effect 'Max Hitpoints' and < 2014,Increase Max Hitpoints by 2014 ,1004,1.5,Unresistable
14982,Oathbound Protector Rk. II,14,You become a sworn protector., becomes a sworn protector.,You are no longer a sworn protector.,PAL/80,Stacking: Block new spell if slot 3 is effect 'Max Hitpoints' and < 2380,Increase Max Hitpoints by 2380 ,1144,1.5,Unresistable
14983,Oathbound Protector Rk. III,14,You become a sworn protector., becomes a sworn protector.,You are no longer a sworn protector.,PAL/80,Stacking: Block new spell if slot 3 is effect 'Max Hitpoints' and < 2563,Increase Max Hitpoints by 2563 ,1219,1.5,Unresistable
14984,Force of Timorous,1,You are stunned by a wave of saltwater., is stunned by a wave of saltwater.,,PAL/80,Stun (4.00 sec/83),,100,12,Magic
14985,Force of Timorous Rk. II,1,You are stunned by a wave of saltwater., is stunned by a wave of saltwater.,,PAL/80,Stun (4.00 sec/83),,100,12,Magic
14986,Force of Timorous Rk. III,1,You are stunned by a wave of saltwater., is stunned by a wave of saltwater.,,PAL/80,Stun (4.00 sec/83),,100,12,Magic
14987,Armor of Decorum,0,Your armor glows with righteous faith.,'s armor glows with righteous faith.,The righteous glow fades from your armor.,PAL/78,,,0,900,Magic
14988,Armor of Decorum Rk. II,0,Your armor glows with righteous faith.,'s armor glows with righteous faith.,The righteous glow fades from your armor.,PAL/78,,,0,900,Magic
14989,Armor of Decorum Rk. III,0,Your armor glows with righteous faith.,'s armor glows with righteous faith.,The righteous glow fades from your armor.,PAL/78,,,0,900,Magic
14990,Benediction,0.5,, staggers.,,PAL/76,Decrease Hitpoints by 1731.,20% Chance to trigger: Benediction Trigger,392,18,Magic
14991,Benediction Rk. II,0.5,, staggers.,,PAL/76,Decrease Hitpoints by 1967.,20% Chance to trigger: Benediction Trigger,430,18,Magic
14992,Benediction Rk. III,0.5,, staggers.,,PAL/76,Decrease Hitpoints by 2125.,20% Chance to trigger: Benediction Trigger,453,18,Magic
14996,Sustenance of Tunare,3,You feel the ward of Tunare surround you., is surrounded by the ward of Tunare.,The ward of Tunare fades away.,PAL/80,Increase ATK by 25 ,,616,30,Unresistable
14997,Sustenance of Tunare Rk. II,3,You feel the ward of Tunare surround you., is surrounded by the ward of Tunare.,The ward of Tunare fades away.,PAL/80,Increase ATK by 25 ,,644,30,Unresistable
14998,Sustenance of Tunare Rk. III,3,You feel the ward of Tunare surround you., is surrounded by the ward of Tunare.,The ward of Tunare fades away.,PAL/80,Increase ATK by 25 ,,661,30,Unresistable
15002,Mark of the Saint,3,You are bound by the mark of the saint., is bound by the mark of the saint.,The mark fades.,PAL/79,Decrease Damage Shield by 15 ,Reverse Damage Shield (27),150,1.5,Magic
15003,Mark of the Saint Rk. II,3,You are bound by the mark of the saint., is bound by the mark of the saint.,The mark fades.,PAL/79,Decrease Damage Shield by 16 ,Reverse Damage Shield (28),157,1.5,Magic
15004,Mark of the Saint Rk. III,3,You are bound by the mark of the saint., is bound by the mark of the saint.,The mark fades.,PAL/79,Decrease Damage Shield by 17 ,Reverse Damage Shield (30),163,1.5,Magic
15005,Aurora of Morrow,3,The light of dawn restores you., is restored by the light of dawn.,,PAL/80,Heal Group based on Mana (1383),Add Effect: Aurora Effect,0,1.5,Unresistable
15006,Aurora of Morrow Rk. II,3,The light of dawn restores you., is restored by the light of dawn.,,PAL/80,Heal Group based on Mana (1446),Add Effect: Aurora Effect,0,1.5,Unresistable
15007,Aurora of Morrow Rk. III,3,The light of dawn restores you., is restored by the light of dawn.,,PAL/80,Heal Group based on Mana (1485),Add Effect: Aurora Effect,0,1.5,Unresistable
15008,Righteous Fury,3,Your hands glow with pious fury.,'s hands glow with pious fury.,The pious fury fades.,PAL/80,Add Proc: Righteous Fury Strike ,,207,6,Unresistable
15009,Righteous Fury Rk. II,3,Your hands glow with pious fury.,'s hands glow with pious fury.,The pious fury fades.,PAL/80,Add Proc: Righteous Fury Strike ,,236,6,Unresistable
15010,Righteous Fury Rk. III,3,Your hands glow with pious fury.,'s hands glow with pious fury.,The pious fury fades.,PAL/80,Add Proc: Righteous Fury Strike ,,252,6,Unresistable
15014,Potamide Balm,2.5,A salve cures your afflictions and heals your wounds., is healed by a salve.,,RNG/78,Decrease Poison Counter by 9 ,Decrease Poison Counter by 9 ,324,1.5,Unresistable
15015,Potamide Balm Rk. II,2.5,A salve cures your afflictions and heals your wounds., is healed by a salve.,,RNG/78,Decrease Poison Counter by 9 ,Decrease Poison Counter by 9 ,334,1.5,Unresistable
15016,Potamide Balm Rk. III,2.5,A salve cures your afflictions and heals your wounds., is healed by a salve.,,RNG/78,Decrease Poison Counter by 9 ,Decrease Poison Counter by 9 ,341,1.5,Unresistable
15017,Shield of Spurs,3,You are covered in a shield of needles., is covered in a shield of needles.,The needles fall away.,RNG/76,Increase Damage Shield by 43 ,,208,1.5,Magic
15018,Shield of Spurs Rk. II,3,You are covered in a shield of needles., is covered in a shield of needles.,The needles fall away.,RNG/76,Increase Damage Shield by 49 ,,237,1.5,Magic
15019,Shield of Spurs Rk. III,3,You are covered in a shield of needles., is covered in a shield of needles.,The needles fall away.,RNG/76,Increase Damage Shield by 52 ,,252,1.5,Magic
15020,Jolting Snapkicks,0.25,You are struck by a jolting kick.,'s head snaps back.,,RNG/77,Kick Attack for 91 with 200% Accuracy Mod,Kick Attack for 91 with 100% Accuracy Mod,0,20,Unresistable
15021,Jolting Snapkicks Rk. II,0.25,You are struck by a jolting kick.,'s head snaps back.,,RNG/77,Kick Attack for 96 with 200% Accuracy Mod,Kick Attack for 96 with 100% Accuracy Mod,0,20,Unresistable
15022,Jolting Snapkicks Rk. III,0.25,You are struck by a jolting kick.,'s head snaps back.,,RNG/77,Kick Attack for 101 with 200% Accuracy Mod,Kick Attack for 101 with 100% Accuracy Mod,0,20,Unresistable
15023,Hornet Swarm,0,You are engulfed in a swarm of hornets., is engulfed in a swarm of hornets.,The hornets fall dead at your feet.,RNG/76,Decrease Hitpoints by 805 per tick. Max: 967 per tick,,976,1.5,Magic
15024,Hornet Swarm Rk. II,0,You are engulfed in a swarm of hornets., is engulfed in a swarm of hornets.,The hornets fall dead at your feet.,RNG/76,Decrease Hitpoints by 845 per tick. Max: 1007 per tick,,1012,1.5,Magic
15025,Hornet Swarm Rk. III,0,You are engulfed in a swarm of hornets., is engulfed in a swarm of hornets.,The hornets fall dead at your feet.,RNG/76,Decrease Hitpoints by 887 per tick. Max: 1049 per tick,,1049,1.5,Magic
15026,Dragonscale Aquifer,3,You are bathed in springwater., is bathed in springwater.,,RNG/76,Increase Hitpoints by 696. Max: 1496,,427,1.5,Unresistable
15027,Dragonscale Aquifer Rk. II,3,You are bathed in springwater., is bathed in springwater.,,RNG/76,Increase Hitpoints by 823. Max: 1623,,446,1.5,Unresistable
15028,Dragonscale Aquifer Rk. III,3,You are bathed in springwater., is bathed in springwater.,,RNG/76,Increase Hitpoints by 908. Max: 1708,,459,1.5,Unresistable
15029,Strength of the Gladewalker,5,You are filled with the strength of the gladewalker.,'s eyes glow with the strength of the gladewalker.,The gladewalker's strength departs.,RNG/77,Increase ATK by 101 ,Stacking: Block new spell if slot 4 is effect 'Max Hitpoints' and < 1213,434,1.5,Magic
15030,Strength of the Gladewalker Rk. II,5,You are filled with the strength of the gladewalker.,'s eyes glow with the strength of the gladewalker.,The gladewalker's strength departs.,RNG/77,Increase ATK by 115 ,Stacking: Block new spell if slot 4 is effect 'Max Hitpoints' and < 1252,495,1.5,Magic
15031,Strength of the Gladewalker Rk. III,5,You are filled with the strength of the gladewalker.,'s eyes glow with the strength of the gladewalker.,The gladewalker's strength departs.,RNG/77,Increase ATK by 122 ,Stacking: Block new spell if slot 4 is effect 'Max Hitpoints' and < 1272,528,1.5,Magic
15032,Rimefall Bite,0.5,An icy wind blows over you., is chilled by an icy wind.,,RNG/77,Decrease Hitpoints by 1367.,,482,30,Cold
15033,Rimefall Bite Rk. II,0.5,An icy wind blows over you., is chilled by an icy wind.,,RNG/77,Decrease Hitpoints by 1554.,,528,30,Cold
15034,Rimefall Bite Rk. III,0.5,An icy wind blows over you., is chilled by an icy wind.,,RNG/77,Decrease Hitpoints by 1678.,,557,30,Cold
15035,Drifting Haze,2.5,Your mind calms.,'s mind calms.,You are no longer calm.,RNG/76,Reaction Radius (18/80),,260,1.5,Magic
15036,Drifting Haze Rk. II,2.5,Your mind calms.,'s mind calms.,You are no longer calm.,RNG/76,Reaction Radius (15/80),,260,1.5,Magic
15037,Drifting Haze Rk. III,2.5,Your mind calms.,'s mind calms.,You are no longer calm.,RNG/76,Reaction Radius (12/80),,260,1.5,Magic
15038,Gnarl of the Predator,5,"You snarl, filled with the spirit of the predator."," snarls, filled with the spirit of the predator.",The spirit of the predator fades.,RNG/78,,Increase ATK by 121 ,502,1.5,Unresistable
15039,Gnarl of the Predator Rk. II,5,"You snarl, filled with the spirit of the predator."," snarls, filled with the spirit of the predator.",The spirit of the predator fades.,RNG/78,,Increase ATK by 138 ,572,1.5,Unresistable
15040,Gnarl of the Predator Rk. III,5,"You snarl, filled with the spirit of the predator."," snarls, filled with the spirit of the predator.",The spirit of the predator fades.,RNG/78,,Increase ATK by 147 ,610,1.5,Unresistable
15041,Galvanic Ash,0.5,Your skin is blanketed by volcanic ash.,'s skin is blanketed by volcanic ash.,,RNG/78,Decrease Hitpoints by 1204.,,360,30,Fire
15042,Galvanic Ash Rk. II,0.5,Your skin is blanketed by volcanic ash.,'s skin is blanketed by volcanic ash.,,RNG/78,Decrease Hitpoints by 1368.,,394,30,Fire
15043,Galvanic Ash Rk. III,0.5,Your skin is blanketed by volcanic ash.,'s skin is blanketed by volcanic ash.,,RNG/78,Decrease Hitpoints by 1478.,,415,30,Fire
15044,Heartsting,0.25,An arrow pierces your vitals., is pierced by a hunter's heartshot.,,RNG/80,Decrease Hitpoints by 1967.,,695,15,Physical
15045,Heartsting Rk. II,0.25,An arrow pierces your vitals., is pierced by a hunter's heartshot.,,RNG/80,Decrease Hitpoints by 2235.,,761,15,Physical
15046,Heartsting Rk. III,0.25,An arrow pierces your vitals., is pierced by a hunter's heartshot.,,RNG/80,Decrease Hitpoints by 2415.,,802,15,Physical
15047,Summer's Viridity,0.5,,,,RNG/79,Add Effect: Summer's Viridity Burn,Add Effect: Summer's Viridity Splash,421,1.5,Prismatic
15048,Summer's Viridity Rk. II,0.5,,,,RNG/79,Add Effect: Summer's Viridity Burn II,Add Effect: Summer's Viridity Splash II,461,1.5,Prismatic
15049,Summer's Viridity Rk. III,0.5,,,,RNG/79,Add Effect: Summer's Viridity Burn III,Add Effect: Summer's Viridity Splash III,486,1.5,Prismatic
15050,Summer's Viridity Burn,0,You are struck by a blazing summer's dew., is struck by a blazing summer's dew.,,RNG/79,Decrease Hitpoints by 722.,Detect Poison (1),100,1.75,Fire
15051,Summer's Viridity Burn II,0,You are struck by a blazing summer's dew., is struck by a blazing summer's dew.,,RNG/79,Decrease Hitpoints by 821.,Detect Poison (1),100,1.75,Fire
15052,Summer's Viridity Burn III,0,You are struck by a blazing summer's dew., is struck by a blazing summer's dew.,,RNG/79,Decrease Hitpoints by 887.,Detect Poison (1),100,1.75,Fire
15053,Summer's Viridity Splash,0,The dew's splash chills you., is chilled by the dew's splash.,,RNG/79,Decrease Hitpoints by 820.,Detect Poison (1),100,1.75,Cold
15054,Summer's Viridity Splash II,0,The dew's splash chills you., is chilled by the dew's splash.,,RNG/79,Decrease Hitpoints by 932.,Detect Poison (1),100,1.75,Cold
15055,Summer's Viridity Splash III,0,The dew's splash chills you., is chilled by the dew's splash.,,RNG/79,Decrease Hitpoints by 1007.,Detect Poison (1),100,1.75,Cold
15056,Ravenscale,6,Your skin takes on an obsidian hardness.,'s skin takes on an obsidian hardness.,Your skin loses its obsidian hardness.,RNG/79,Increase AC by 44 ,Increase Max Hitpoints by 743 ,696,1.5,Unresistable
15057,Ravenscale Rk. II,6,Your skin takes on an obsidian hardness.,'s skin takes on an obsidian hardness.,Your skin loses its obsidian hardness.,RNG/79,Increase AC by 50 ,Increase Max Hitpoints by 878 ,793,1.5,Unresistable
